ts,open,high,low,close,volume
1765929600000,87821.3,90341.0,85259.2,86197.3,114670.925
1766016000000,86197.3,89483.5,84408.1,85470.1,118511.78
1766102400000,85470.1,89381.0,85063.0,88101.1,93073.656
1766188800000,88101.1,88539.9,87739.9,88314.8,17022.345
1766275200000,88314.8,89046.3,87533.7,88629.0,35879.108
1766361600000,88629.0,90588.8,87844.9,88578.3,75115.67
1766448000000,88578.3,88896.0,86542.2,87444.0,72824.578
1766534400000,87444.0,88032.9,86363.3,87636.3,44548.378
1766620800000,87636.3,88565.5,86902.2,87178.1,32901.382
1766707200000,87178.1,89539.0,86618.6,87328.8,70216.451
1766793600000,87328.8,87958.0,87200.1,87835.6,12512.888
1766880000000,87835.6,88064.0,87365.8,87909.9,17141.958
1766966400000,87909.9,90422.0,86753.0,87184.6,80499.669
1767052800000,87184.6,89373.0,86779.2,88458.0,60503.934
1767139200000,88458.0,89194.3,87177.8,87594.9,45406.525
1767225600000,87594.9,88891.9,87515.0,88810.1,24082.533
1767312000000,88810.1,90958.5,88325.9,89953.8,80011.551
1767398400000,89953.8,90706.4,89255.1,90599.9,25358.895
1767484800000,90599.9,91775.6,90599.9,91490.7,34173.339
1767571200000,91490.7,94749.9,91469.0,93825.5,83570.041
1767657600000,93825.5,94405.0,91217.2,93714.6,81468.954
1767744000000,93714.6,93714.6,90624.3,91332.0,74646.651
1767830400000,91332.0,91641.4,89262.0,91061.9,76107.62
1767916800000,91061.9,92001.6,89650.1,90608.4,69261.141
1768003200000,90608.4,90812.1,90332.8,90479.6,11557.854
1768089600000,90479.6,91254.5,90176.4,90962.6,20231.225
1768176000000,90962.6,92500.0,90068.0,91248.7,77609.952
1768262400000,91248.7,96654.0,91003.0,95389.5,96658.133
1768348800000,95389.5,97963.2,94509.0,96900.0,85925.616
1768435200000,96900.0,97174.5,95071.8,95559.9,67571.964
1768521600000,95559.9,95819.0,94241.3,95504.9,46895.123
1768608000000,95504.9,95653.3,94967.9,95103.0,14622.327
1768694400000,95103.0,95490.5,93545.0,93624.6,26713.016
1768780800000,93624.6,93624.6,91800.2,92584.3,56043.348
1768867200000,92584.3,92847.1,87773.1,88379.9,93982.491
1768953600000,88379.9,90542.2,87212.0,89410.1,98984.074
1769040000000,89410.1,90337.9,88462.3,89511.7,56015.193
1769126400000,89511.7,91180.0,88500.0,89551.7,57180.322
1769212800000,89551.7,89883.4,89105.7,89177.1,12523.344
1769299200000,89177.1,89271.8,86031.4,86625.6,58830.616
1769385600000,86625.6,88843.9,86446.8,88305.1,60327.106
1769472000000,88305.1,89499.8,87234.0,89202.3,59432.496
1769558400000,89202.3,90597.0,88800.0,89261.7,67780.863
1769644800000,89261.7,89312.7,83311.0,84599.8,103238.144
1769731200000,84599.8,84692.3,81000.0,84222.5,117119.557
1769817600000,84222.5,84254.3,75689.6,78704.4,140584.161
1769904000000,78704.4,79388.5,75663.2,76938.5,85903.568
1769990400000,76938.5,79388.0,74567.3,78693.9,112456.306
1770076800000,78693.9,79177.7,72889.7,75723.2,135937.152
1770163200000,75723.2,76991.2,71805.2,73130.3,128922.745
1770249600000,73130.3,73312.1,62250.0,62872.7,286006.015
1770336000000,62872.7,71719.9,59888.0,70532.3,231100.223
1770422400000,70532.3,71653.2,67307.3,69248.2,111608.391
1770508800000,69248.2,72254.1,68839.0,70289.8,63712.92
1770595200000,70289.8,71418.4,68207.2,70110.8,86642.442
1770681600000,70110.8,70508.8,67869.0,68804.3,75569.798
1770768000000,68804.3,69265.8,65705.0,67044.5,121594.457
1770854400000,67044.5,68396.0,65065.0,66244.8,98006.529
1770940800000,66244.8,69450.0,65824.7,68819.2,84429.056
1771027200000,68819.2,70550.0,68691.1,69790.1,45153.823
1771113600000,69790.1,70937.0,68051.7,68800.0,60548.124
1771200000000,68800.0,70099.1,67243.6,68863.8,63330.007
1771286400000,68863.8,69228.5,66556.6,67474.9,73367.421
1771372800000,67474.9,68440.0,65814.6,66426.0,69348.243
1771459200000,66426.0,67307.9,65573.5,66982.1,64941.821
1771545600000,66982.1,68299.9,66427.5,67989.2,92495.864
1771632000000,67989.2,68687.1,67511.0,67934.5,32305.152
1771718400000,67934.5,68224.4,67143.5,67610.5,31224.35
1771804800000,67610.5,67652.2,63833.0,64615.3,119734.752
1771891200000,64615.3,64979.7,62422.3,64032.5,107197.219
1771977600000,64032.5,69989.8,63869.5,67958.3,148559.208
1772064000000,67958.3,68841.7,66451.1,67447.5,90292.374
1772150400000,67447.5,68185.6,64888.0,65833.4,82996.047
1772236800000,65833.4,67739.5,62972.3,66939.6,119624.753
1772323200000,66939.6,68183.2,65001.0,65746.9,90228.941
1772409600000,65746.9,70066.0,65238.5,68799.9,116572.4
1772496000000,68799.9,69222.0,66054.3,68299.5,112639.401
1772582400000,68299.5,74021.8,67348.4,72640.4,143556.262
1772668800000,72640.4,73537.9,70610.0,70847.6,104007.762
1772755200000,70847.6,71384.5,67720.0,68075.5,97741.594
1772841600000,68075.5,68536.8,66885.4,67227.1,39363.204
1772928000000,67227.1,68167.7,65580.0,65943.8,67710.732
1773014400000,65943.8,69500.0,65782.7,68390.7,100098.267
1773100800000,68390.7,71762.8,68355.0,69907.5,123676.836
1773187200000,69907.5,71300.0,68921.8,70150.8,93561.073
1773273600000,70150.8,70772.4,69150.0,70482.0,83619.103
1773360000000,70482.0,73869.8,70345.6,72577.8,79420.632
