ts,open,high,low,close,volume
1750046400000,105875.4,107237.5,105830.0,107014.0,13896.275
1750060800000,107014.0,107206.7,106534.3,106866.2,8480.787
1750075200000,106866.2,107739.5,106440.0,107378.2,22001.92
1750089600000,107378.2,108873.8,107253.9,108585.7,17551.47
1750104000000,108585.7,108955.5,106630.0,106749.3,21657.689
1750118400000,106749.3,107724.9,106072.3,107558.8,21318.6
1750132800000,107558.8,107671.9,106434.8,106732.0,10114.648
1750147200000,106732.0,106783.0,105436.1,105590.1,14596.83
1750161600000,105590.1,105809.2,104065.1,104192.3,30029.657
1750176000000,104192.3,105286.7,103303.4,104625.9,33379.286
1750190400000,104625.9,104834.9,104142.8,104512.7,9939.001
1750204800000,104512.7,105186.2,104320.0,105124.6,6028.836
1750219200000,105124.6,105500.0,104654.3,104921.2,8558.531
1750233600000,104921.2,105260.2,104132.1,104788.9,11070.138
1750248000000,104788.9,105290.9,103767.1,104743.6,24910.28
1750262400000,104743.6,104786.7,103422.3,103761.2,24158.167
1750276800000,103761.2,105100.7,103586.6,104847.3,10255.954
1750291200000,104847.3,105191.9,104394.9,105041.2,6777.655
1750305600000,105041.2,105189.5,104558.0,104582.4,4569.755
1750320000000,104582.4,105027.3,104564.2,104712.9,4344.192
1750334400000,104712.9,104854.6,104025.1,104045.8,11653.6
1750348800000,104045.8,104798.3,103864.0,104210.1,12309.478
1750363200000,104210.1,104870.0,104100.0,104604.2,5014.56
1750377600000,104604.2,104782.9,104341.3,104555.1,4224.52
1750392000000,104555.1,105780.9,104191.9,105769.9,12199.909
1750406400000,105769.9,106499.9,105689.9,105923.7,17807.23
1750420800000,105923.7,106103.4,103811.0,104166.3,26763.936
1750435200000,104166.3,104220.8,102260.0,103264.6,30555.92
1750449600000,103264.6,103797.0,102913.2,103243.9,8156.743
1750464000000,103243.9,103644.1,103066.0,103436.0,2786.156
1750478400000,103436.0,103545.5,103262.0,103414.1,2570.92
1750492800000,103414.1,103949.9,103406.6,103819.8,5560.075
1750507200000,103819.8,103893.3,103235.0,103517.2,8062.895
1750521600000,103517.2,103610.9,102150.0,102200.8,11847.654
1750536000000,102200.8,102848.4,100800.0,102083.9,33113.883
1750550400000,102083.9,103347.0,101780.6,102340.3,24321.946
1750564800000,102340.3,102913.6,102214.0,102381.8,8740.941
1750579200000,102381.8,102769.4,102034.0,102687.9,7422.273
1750593600000,102687.9,102789.0,98856.7,98871.2,64688.014
1750608000000,98871.2,100348.2,98596.0,98821.1,24967.047
1750622400000,98821.1,100996.9,98125.0,100904.3,32924.733
1750636800000,100904.3,101553.7,100433.4,101115.4,12521.796
1750651200000,101115.4,102151.4,100923.2,101891.6,12838.321
1750665600000,101891.6,102044.6,101055.4,101239.9,11295.462
1750680000000,101239.9,102590.0,100738.1,101382.3,30944.851
1750694400000,101382.3,103283.7,99581.0,103109.2,51018.309
1750708800000,103109.2,106024.8,102836.3,105283.5,41279.573
1750723200000,105283.5,105469.0,104657.9,104875.7,9255.86
1750737600000,104875.7,105784.7,104650.0,104907.9,14163.272
1750752000000,104907.9,105542.0,104567.0,105129.9,13175.641
1750766400000,105129.9,105709.9,104755.0,105180.3,14828.208
1750780800000,105180.3,106269.9,105116.2,105580.0,14853.412
1750795200000,105580.0,106089.3,105379.0,106048.5,6752.031
1750809600000,106048.5,106782.3,105750.0,106177.1,14179.841
